molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL222828,187.0,nM,Cc1cc2c(F)c(Oc3ncnc(N)c3/C=N/OCCN(C)C)ccc2[nH]1,6.7281583934635005,True,<rdkit.Chem.rdchem.Mol object at 0x1256a26d0>
CHEMBL359084,187.0,nM,CC(=O)c1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,6.7281583934635005,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2740>
CHEMBL5192184,188.0,nM,COc1cc(-c2nc3ccccc3s2)ccc1OCC(=O)NNC(=O)CN1CCC[C@H]1C(=O)O,6.72584215073632,True,<rdkit.Chem.rdchem.Mol object at 0x1256a27b0>
CHEMBL3690493,189.0,nM,Cc1cc(-c2ccn3c(-c4cccc(NC(=O)NCC(F)(F)F)c4)cnc3c2)nnc1Cl,6.723538195826755,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2890>
CHEMBL3676386,189.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCNC(=S)NCC,6.723538195826755,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2900>
CHEMBL189017,189.0,nM,Clc1ccc(Nc2cncc(-c3cncc(NCCCc4ccncc4)c3)n2)cc1Cl,6.723538195826755,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2970>
CHEMBL4779166,189.0,nM,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3cc(F)ccc32)c1C,6.723538195826755,True,<rdkit.Chem.rdchem.Mol object at 0x1256a29e0>
CHEMBL1940867,189.07,nM,Cc1cccc2cc(/C=C/C(=O)c3ccc(Cl)s3)c(Cl)nc12,6.723377375798292,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2a50>
CHEMBL522732,190.0,nM,CN1CCN(c2ccc3[nH]c(-c4c(N)c5cc(F)c(F)cc5[nH]c4=O)nc3c2)CC1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2ac0>
CHEMBL461140,190.0,nM,CN(C)CCOc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2b30>
CHEMBL596988,190.0,nM,COc1ccc(Nc2ncc3c(n2)-c2cnccc2NC(=O)C3)cc1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2ba0>
CHEMBL3690452,190.0,nM,COc1cnc(-c2ccn3c(-c4cccc(NC(=O)NCC(F)(F)F)c4)cnc3c2)cn1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2c10>
CHEMBL2386817,190.0,nM,CN1CCN(c2ccc(C(=O)Nc3cc(-c4ccc(NC(=O)Nc5cccnc5)cc4)n[nH]3)cc2)CC1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2c80>
CHEMBL195254,190.0,nM,CCOC(=O)c1cn2ncnc(Nc3cc(C(=O)NOCC4CC4)c(F)cc3F)c2c1C(C)C,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2cf0>
CHEMBL204984,190.0,nM,CC(C)(C)c1ccc(Nc2nnc(-c3ccncc3CCc3ccncc3)o2)cc1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2d60>
CHEMBL190783,190.0,nM,CCNC(=O)Nc1nc2nc(NCCCCN(CC)CC)ncc2cc1-c1cc(OC)cc(OC)c1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2dd0>
CHEMBL4566054,190.0,nM,CCOC(=O)c1ccc(Nc2ccnc(SCC(=O)c3ccc(OC)cc3)n2)cc1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2e40>
CHEMBL605324,190.0,nM,Cc1ccc(Nc2ncc3c(n2)-c2ccccc2NC(=O)C3)cc1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2eb0>
CHEMBL396284,190.0,nM,COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cc(N)ccc4F)cc3)cc2[nH]1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2f20>
CHEMBL181122,190.0,nM,CCCc1ccc(Nc2ncnn3cc(C(=O)OC)c(C)c23)cc1O,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2f90>
CHEMBL3217774,190.0,nM,COCCOc1cc2ncnc(Nc3cccc(B(O)O)c3)c2cc1OCCOC,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3040>
CHEMBL1762529,190.0,nM,COc1cc(CO)cc(N(C)c2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a30b0>
CHEMBL1651522,190.0,nM,COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)/C=C/C[C@H](C)OC2=O,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3120>
CHEMBL3644034,190.0,nM,C[C@@H](Oc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F)C(C)(C)O,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3190>
CHEMBL193342,190.0,nM,NC(=O)c1ccc(-c2nnc(Nc3ccc(OC(F)(F)Cl)cc3)c3ccccc23)cc1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3200>
CHEMBL4463108,190.0,nM,COc1ccc(Nc2ncc3c(n2)-c2cccnc2SC3)cc1OC,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3270>
CHEMBL2063436,190.0,nM,Cc1nc(Nc2cc(-c3ccc(CNC(=O)OCc4ccccc4)cc3)n[nH]2)cc(N2CCNCC2)n1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a32e0>
CHEMBL596807,190.0,nM,O=C1Cc2cnc(Nc3ccc(Cl)cc3)nc2-c2ccccc2N1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3350>
CHEMBL516635,190.0,nM,Clc1cccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)c1,6.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x1256a33c0>
CHEMBL3622956,191.9,nM,Cc1nn(-c2ccnc(Nc3ccc4c(c3)c(Cl)c(C)n4C)n2)cc1CN1CC(O)C1,6.716925025264528,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3430>
CHEMBL3923206,192.0,nM,Cc1cc(NC(=O)Nc2ccc(F)c(C(F)(F)F)c2)cc(Oc2cc(NC(=O)C3CC3)ncn2)c1,6.71669877129645,True,<rdkit.Chem.rdchem.Mol object at 0x1256a34a0>
CHEMBL420087,194.0,nM,Clc1cnc(Nc2ccccn2)s1,6.7121982700697735,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3510>
CHEMBL1241486,194.0,nM,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(C)CO,6.7121982700697735,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3580>
CHEMBL3690379,195.0,nM,CN(C)CC#Cc1ccn2c(-c3cccc(NC(=O)NCC(F)(F)F)c3)cnc2c1,6.709965388637482,True,<rdkit.Chem.rdchem.Mol object at 0x1256a35f0>
CHEMBL224834,195.0,nM,C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnc4)ccc2-3)cs1)COc1ccccc1,6.709965388637482,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3660>
CHEMBL597592,196.0,nM,CC(C)(C)c1cc(NC(=O)Nc2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)n(-c2ccccc2)n1,6.707743928643524,True,<rdkit.Chem.rdchem.Mol object at 0x1256a36d0>
CHEMBL3671563,197.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)N1CCOCC1,6.705533773838408,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3740>
CHEMBL3690383,198.0,nM,CC(O)C#Cc1ccn2c(-c3cccc(NC(=O)NCC(F)(F)F)c3)cnc2c1,6.703334809738469,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3820>
CHEMBL3671531,198.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CCN(CC)CC,6.703334809738469,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3890>
CHEMBL4291572,198.5,nM,CNc1ncc2c(n1)Nc1n[nH]c(C)c1N=C2c1ccc(C)cc1,6.702239488900866,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3900>
CHEMBL3694716,199.0,nM,Cn1cncc1C#Cc1ccn2c(-c3cc(NC(=O)NCC(F)(F)F)ccc3F)cnc2c1,6.701146923590294,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3970>
CHEMBL3928634,200.0,nM,Cc1cc(NC(=O)Nc2cccc(C(F)(F)F)c2)cc(Oc2cc(NC(=O)C3CC3)ncn2)c1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a39e0>
CHEMBL602123,200.0,nM,O=C(Nc1cc(Oc2cccc3[nH]c(=O)[nH]c23)c(F)c(F)c1F)c1cccc(OC(F)(F)F)c1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3a50>
CHEMBL234275,200.0,nM,N#Cc1cnc(Nc2ccc(CCO)cc2)nc1-c1ccc(S(N)(=O)=O)cc1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3ac0>
CHEMBL3671576,200.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CN1CCCC1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3b30>
CHEMBL4449758,200.0,nM,O=C(Nc1cccc(NC(=S)Nc2ccc([N+](=O)[O-])cc2)c1)c1ccccn1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3ba0>
CHEMBL3919864,200.0,nM,Cc1cc(NC(=O)Nc2cc(F)cc(C(F)(F)F)c2)cc(Oc2cc(NC(=O)C3CC3)ncn2)c1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3c10>
CHEMBL2016901,200.0,nM,O=C(c1ccncc1)N1CCc2nc(-c3cc4ccccc4[nH]c3=O)[nH]c2C1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3c80>
CHEMBL147761,200.0,nM,Cc1c[nH]c(/C=C2\C(=O)Nc3cccc(C)c32)c1CCC(=O)O,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3cf0>
CHEMBL389343,200.0,nM,N#Cc1cnc(Nc2ccc(CCO)cc2)nc1-c1ccccc1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3d60>
CHEMBL2322137,200.0,nM,c1cc2c(ncc3onc(C4CCCCC4)c32)[nH]1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3dd0>
CHEMBL2016898,200.0,nM,O=C(c1cccnc1)N1CCc2nc(-c3cc4ccccc4[nH]c3=O)[nH]c2C1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3e40>
CHEMBL176705,200.0,nM,COc1ccc(-c2cn(-c3ccccc3)c3ncnc(N)c23)cc1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3eb0>
CHEMBL1095464,200.0,nM,Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)nc(N)nc2[nH]1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3f20>
CHEMBL4847826,200.0,nM,C[C@@H](O)CNc1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ncn1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a3f90>
CHEMBL3644025,200.0,nM,C#CCS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(O[C@H](C)C(C)(C)O)n2)cc1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a4040>
CHEMBL4529255,200.0,nM,O=C(CCSC(=S)N1CCOCC1)Nc1cccc(NC(=O)c2ccccn2)c1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a40b0>
CHEMBL1807478,200.0,nM,O=C(Nc1cc(-c2cccc(NS(=O)(=O)c3ccccc3)c2)n[nH]1)c1ccc(OCCN2CCCC2)cc1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a4120>
CHEMBL566621,200.0,nM,O=C(CC(=O)Nc1ccc(Oc2ccnc3ccsc23)c(F)c1)Nc1ccccc1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a4190>
CHEMBL74646,200.0,nM,Fc1cc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc(C(F)(F)F)c1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a4200>
CHEMBL3358999,200.0,nM,COc1cc(-c2c[nH]c(=O)c(-c3cc(OC)c(OC)c(OC)c3)n2)ccc1O,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a4270>
CHEMBL3648103,200.0,nM,CCC(Sc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br)C(C)O,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a42e0>
CHEMBL404402,200.0,nM,CC(C)c1c(-c2nnc(CN3CCC(O)C3)o2)cn2ncnc(Nc3cc(C(=O)NC4CC4)c(F)cc3F)c12,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a4350>
CHEMBL309331,200.0,nM,c1ccc(-c2ccc(Nc3nnc(Cc4ccncc4)c4ccccc34)cc2)cc1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a43c0>
CHEMBL439428,200.0,nM,CC(C)c1c(-c2nnco2)cn2ncnc(Nc3cc(C(=O)NC4CC4)c(F)cc3F)c12,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a4430>
CHEMBL427725,200.0,nM,CCCc1ccc(NC(=O)c2ccccc2CCc2ccncc2)cc1,6.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x1256a44a0>
CHEMBL3818283,201.0,nM,Fc1ccc(Nc2nccc(Nc3ccc4[nH]ncc4c3)n2)cc1,6.696803942579511,True,<rdkit.Chem.rdchem.Mol object at 0x1256a4510>
CHEMBL435748,201.0,nM,Cc1cc2c(F)c(Oc3ncnc(N)c3/C=N/OCc3ccccc3)ccc2[nH]1,6.696803942579511,True,<rdkit.Chem.rdchem.Mol object at 0x1256a4580>
