chembl_id,smiles,IC50[nM]
CHEMBL3221555,O=C(OCC)Nc1c(C)ccc(Nc2ncnc3c2cc(OC)c(OC)c3)c1,5000.0
CHEMBL248220,O(Cc1ccccc1)c1c(OC)cc2ncc(C#N)c(N[C@H]3[C@H](c4ccccc4)C3)c2c1,1610.0
CHEMBL306988,O=C([O-])CCC(=O)Nc1ccc(C(=C(C#N)C#N)C)cc1,500000.11
CHEMBL592426,Clc1c(O)c(CN(C(=O)Nc2ccccc2)Cc2ccc(F)cc2)ccc1,1980.0
CHEMBL299194,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(NCCCN3CC[NH+](C)CC3)ncc2C=1,8700.0
CHEMBL31876,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)C#CC)cc3)c1,330.2
CHEMBL113863,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(NCCCCCC(=O)[O-])ncc2C=1,1000.0
CHEMBL185637,Clc1c(F)ccc(NC2=NC=Nn3c2ccc3)c1,110.0
CHEMBL4073912,Clc1cc(Nc2ncnc3c2cc(NC(=S)Nc2scc(C(F)(F)F)n2)cc3)ccc1,137.0
CHEMBL165630,Brc1cc(Nc2ncnc3c2cc(NCC[NH+](CCO)CCO)nc3)ccc1,0.93
CHEMBL1812567,Clc1cc(Nc2ncnc3c2cc(NC(=O)/C=C/c2sccc2)cc3)ccc1,8800.0
CHEMBL512391,Clc1c(OCc2ccccc2)ccc(Nc2c(C(=O)[O-])c(N)ncn2)c1,41.0
CHEMBL110035,O(C)c1c(OC)cc2ncc(C#N)c(Nc3cc(N(C)C)ccc3)c2c1,851.14
CHEMBL92937,Brc1cc(Nc2ncnc3c2cc(N)c(NC)c3)ccc1,0.69
CHEMBL1173105,O=C(C)N1C(c2cc(OC)cc(OC)c2)CC(c2cc(C)c(C)cc2)=N1,17310.0
CHEMBL59145,Clc1c(C(=O)/C(/C#N)=C/c2cc(O)c([O-])cc2)cccc1,1540.0
CHEMBL3663925,O=C(C=C)N1CCC(c2c(CC)nc(C(=O)N)c(Nc3cc(C)c(N4CCC(N5CC[NH+](C)CC5)CC4)cc3)n2)CC1,1.1
